Date,Close,High,Low,Open,Volume,RSI,20DMA,50DMA,Signal,Buy_Sell
2024-10-17,232.14999,233.85001,230.52,233.42999,32993800,,,,0,Sell
2024-10-18,235.0,236.17999,234.00999,236.17999,46431500,,,,0,Sell
2024-10-21,236.48,236.85001,234.45,234.45,36254500,,,,0,Sell
2024-10-22,235.86,236.22,232.60001,233.89,38846600,,,,0,Sell
2024-10-23,230.75999,235.14,227.75999,234.08,52287000,,,,0,Sell
2024-10-24,230.57001,230.82001,228.41,229.98,31109500,,,,0,Sell
2024-10-25,231.41,233.22,229.57001,229.74001,38802300,,,,0,Sell
2024-10-28,233.39999,234.73,232.55,233.32001,36087100,,,,0,Sell
2024-10-29,233.67,234.33,232.32001,233.10001,35417200,,,,0,Sell
2024-10-30,230.10001,233.47,229.55,232.61,47070900,,,,0,Sell
2024-10-31,225.91,229.83,225.37,229.34,64370100,,,,0,Sell
2024-11-01,222.91,225.35001,220.27,220.97,65276700,,,,0,Sell
2024-11-04,222.00999,222.78999,219.71001,220.99001,44944500,,,,0,Sell
2024-11-05,223.45,223.95,221.14,221.8,28111300,,,,0,Sell
2024-11-06,222.72,226.07001,221.19,222.61,54561100,32.64632585707547,,,0,Sell
2024-11-07,227.48,227.88,224.57001,224.63,42137700,37.07015130674,,,0,Sell
2024-11-08,226.96001,228.66,226.41,227.17,38328800,33.07255799166359,,,0,Sell
2024-11-11,224.23,225.7,221.5,225.0,42005600,30.764141581210662,,,0,Sell
2024-11-12,224.23,225.59,223.36,224.55,40398300,37.0075754108935,,,0,Sell
2024-11-13,225.12,226.64999,222.75999,224.00999,48566200,39.45023637234365,228.7209995,,0,Sell
2024-11-14,228.22,228.87,225.0,225.02,44923900,44.32182675555233,228.5245,,0,Sell
2024-11-15,225.0,226.92,224.27,226.39999,47923700,35.67533866779807,228.0245,,0,Sell
2024-11-18,228.02,229.74001,225.17,225.25,44686000,41.19114986520124,227.6015,,0,Sell
2024-11-19,228.28,230.16,226.66,226.98,36211800,46.83586908636744,227.2225,,0,Sell
2024-11-20,229.0,229.92999,225.89,228.06,35169600,56.10912921381637,227.1345005,,0,Sell
2024-11-21,228.52,230.16,225.71001,228.88,42108300,62.31882975948203,227.032,,0,Sell
2024-11-22,229.87,230.72,228.06,228.06,38168300,66.92507884363536,226.955,,0,Sell
2024-11-25,232.87,233.25,229.74001,231.46001,90152800,69.00726392251822,226.9285005,,0,Sell
2024-11-26,235.06,235.57001,233.33,233.33,45986200,73.51371951219514,226.9980005,,0,Sell
2024-11-27,234.92999,235.69,233.81,234.47,33498400,67.23735898317497,227.2394995,,0,Sell
2024-11-29,237.33,237.81,233.97,234.81,28481400,72.07317317176691,227.8104995,,0,Sell
2024-12-02,239.59,240.78999,237.16,237.27,48137100,83.36226467222883,228.6444995,,0,Sell
2024-12-03,242.64999,242.75999,238.89999,239.81,38861000,85.31438446534342,229.6764995,,0,Sell
2024-12-04,243.00999,244.11,241.25,242.87,44383900,85.00975146389378,230.654499,,0,Sell
2024-12-05,243.03999,244.53999,242.13,243.99001,40033900,82.96259654688768,231.6704985,,0,Sell
2024-12-06,242.84,244.63,242.08,242.91,36870600,95.8376156217884,232.4384985,,0,Sell
2024-12-09,246.75,247.24001,241.75,241.83,44649200,96.01965601965614,233.42799800000003,,0,Sell
2024-12-10,247.77,248.21001,245.34,246.89,36914800,96.16295594504986,234.604998,,0,Sell
2024-12-11,246.49001,250.8,246.25999,247.96001,45205800,90.35537164530314,235.7179985,,0,Sell
2024-12-12,247.96001,248.74001,245.67999,246.89,32777500,92.8950101037115,236.859999,,0,Sell
2024-12-13,248.13,249.28999,246.24001,247.82001,33155300,92.50469506954856,237.855499,,0,Sell
2024-12-16,251.03999,251.38,247.64999,247.99001,51694800,92.47315447380252,239.15749850000003,,0,Sell
2024-12-17,253.48,253.83,249.78,250.08,51356400,92.5601132718238,240.4304985,,0,Sell
2024-12-18,248.05,254.28,247.74001,252.16,56774100,74.35045399085456,241.4189985,,0,Sell
2024-12-19,249.78999,252.0,247.09,247.5,60882300,73.70626656443415,242.458498,,0,Sell
2024-12-20,254.49001,255.0,245.69,248.03999,147495300,75.94015592634679,243.75699849999995,,0,Sell
2024-12-23,255.27,255.64999,253.45,254.77,40858800,73.86540151142387,245.0269985,,0,Sell
2024-12-24,258.20001,258.20999,255.28999,255.49001,23234700,76.18067989016203,246.293499,,0,Sell
2024-12-26,259.01999,260.10001,257.63,258.19,27237100,76.81211652633098,247.49149850000003,,0,Sell
2024-12-27,255.59,258.70001,253.06,257.82999,42355300,69.30065915913917,248.524499,236.8935992,0,Sell
2024-12-30,252.2,253.5,250.75,252.23,35557500,58.38204660971591,249.267999,237.2945994,0,Sell
2024-12-31,250.42,253.28,249.42999,252.44,39480700,53.98257166524994,249.809499,237.6029994,0,Sell
2025-01-02,243.85001,249.10001,241.82001,248.92999,55740700,46.576759934398254,249.8695,237.7503996,0,Sell
2025-01-03,243.36,244.17999,241.89,243.36,40244100,43.8797050662893,249.88700050000003,237.9003996,0,Sell
2025-01-06,245.0,247.33,243.2,244.31,45045600,45.99231548902201,249.985001,238.1851998,0,Sell
2025-01-07,242.21001,245.55,241.35001,242.98,40856000,38.659151635834405,249.9535015,238.4179998,0,Sell
2025-01-08,242.7,243.71001,240.05,241.92,37628900,35.42453804709358,249.7510015,238.6437998,0,Sell
2025-01-10,236.85001,240.16,233.0,240.00999,61710900,35.02673131915947,249.205002,238.71280020000003,0,Sell
2025-01-13,234.39999,234.67,229.72,233.53,49630700,29.80843862946135,248.600501,238.7274,1,Buy
