Date,Close,High,Low,Open,Volume,RSI,20DMA,50DMA,Signal,Buy_Sell
2024-10-17,416.72,422.5,415.59,422.35999,14820000,,,,0,Sell
2024-10-18,418.16,419.64999,416.26001,417.14001,17145300,,,,0,Sell
2024-10-21,418.78,418.95999,413.75,416.12,14206100,,,,0,Sell
2024-10-22,427.51001,430.57999,418.04001,418.48999,25482200,,,,0,Sell
2024-10-23,424.60001,431.07999,422.53,430.85999,19654400,,,,0,Sell
2024-10-24,424.73001,425.98001,422.39999,425.32999,13581600,,,,0,Sell
2024-10-25,428.14999,432.51999,426.57001,426.76001,16899100,,,,0,Sell
2024-10-28,426.59,431.94,426.29999,431.66,14882400,,,,0,Sell
2024-10-29,431.95001,433.17001,425.79999,428.0,17644100,,,,0,Sell
2024-10-30,432.53,438.5,432.10001,437.44,29749100,,,,0,Sell
2024-10-31,406.35001,416.16,406.29999,415.35999,53971000,,,,0,Sell
2024-11-01,410.37,415.5,407.5,409.01001,24230400,,,,0,Sell
2024-11-04,408.45999,410.42001,405.57001,409.79999,19672300,,,,0,Sell
2024-11-05,411.45999,414.89999,408.07999,408.37,17626000,,,,0,Sell
2024-11-06,420.17999,420.45001,410.51999,412.42001,26681800,52.52259515424106,,,0,Sell
2024-11-07,425.42999,426.85001,419.88,421.28,19901800,55.021406971159095,,,0,Sell
2024-11-08,422.54001,426.5,421.78,425.32001,16891400,52.51809035500293,,,0,Sell
2024-11-11,418.01001,424.81,416.0,422.51999,24503300,43.25858069138294,,,0,Sell
2024-11-12,423.03,424.44,417.20001,418.25,19401200,48.91827785971406,,,0,Sell
2024-11-13,425.20001,429.32999,418.20999,421.64001,21502200,50.31497143678176,421.0375015,,0,Sell
2024-11-14,426.89001,428.17001,420.0,425.0,30246900,49.13557855959307,421.54600199999993,,0,Sell
2024-11-15,415.0,422.79999,413.64001,419.82001,28247600,43.03569115147006,421.388002,,0,Sell
2024-11-18,415.76001,418.39999,412.10001,414.87,24742000,39.70232532815807,421.2370025,,0,Sell
2024-11-19,417.79001,417.94,411.54999,413.10999,18133500,40.79440929233191,420.7510025,,0,Sell
2024-11-20,415.48999,417.29001,410.57999,416.87,19191700,58.13454676591428,420.29550150000006,,0,Sell
2024-11-21,412.87,419.78,410.29001,419.5,20780200,52.28185385839583,419.702501,,0,Sell
2024-11-22,417.0,417.39999,411.06,411.37,24814600,57.49123552785342,419.1450015,,0,Sell
2024-11-25,418.79001,421.07999,414.85001,418.38,27691100,56.569293217675856,418.755002,,0,Sell
2024-11-26,427.98999,429.04001,418.85001,419.59,23458900,56.9397547538653,418.557001,,0,Sell
2024-11-27,422.98999,427.23001,422.01999,425.10999,18332400,47.82220635487326,418.0800005,,0,Sell
2024-11-29,423.45999,424.88,417.79999,420.09,16271900,50.85818997828732,418.9354995000001,,0,Sell
2024-12-02,430.98001,433.0,421.31,421.57001,20207200,61.45961374121663,419.966,,0,Sell
2024-12-03,431.20001,432.47,427.73999,429.84,18302000,57.88762513262687,421.10300100000006,,0,Sell
2024-12-04,437.42001,439.67001,432.63,433.03,26009400,60.94196923927702,422.401002,,0,Sell
2024-12-05,442.62,444.66,436.17001,437.92001,21697800,63.25188041185488,423.5230025,,0,Sell
2024-12-06,443.57001,446.10001,441.76999,442.29999,18821000,79.50835808199253,424.4300035,,0,Sell
2024-12-09,446.01999,448.32999,440.5,442.60001,19144400,80.19958083832336,425.6040025,,0,Sell
